LocationId,Sum of Quantity Shipped,TimePeriod,GenusId
1,7819.0,2022-08-15 00:00:00,44
1,944.0,2022-08-15 00:00:00,45
1,39180.0,2022-08-15 00:00:00,47
1,0.0,2022-08-16 00:00:00,3
1,0.0,2022-08-16 00:00:00,7
1,0.0,2022-08-16 00:00:00,13
1,0.0,2022-08-16 00:00:00,15
1,0.0,2022-08-16 00:00:00,16
1,0.0,2022-08-16 00:00:00,27
1,0.0,2022-08-16 00:00:00,35
1,0.0,2022-08-16 00:00:00,39
1,0.0,2022-08-16 00:00:00,40
1,0.0,2022-08-16 00:00:00,44
1,0.0,2022-08-16 00:00:00,45
1,0.0,2022-08-16 00:00:00,47
1,0.0,2022-08-16 00:00:00,52
1,0.0,2022-08-19 00:00:00,7
1,0.0,2022-08-19 00:00:00,20
1,0.0,2022-08-19 00:00:00,27
1,0.0,2022-08-19 00:00:00,29
1,0.0,2022-08-19 00:00:00,35
1,0.0,2022-08-19 00:00:00,38
1,0.0,2022-08-19 00:00:00,39
1,0.0,2022-08-19 00:00:00,44
1,0.0,2022-08-19 00:00:00,45
1,0.0,2022-08-19 00:00:00,52
1,0.0,2022-08-20 00:00:00,3
1,23104.0,2022-08-20 00:00:00,7
1,0.0,2022-08-20 00:00:00,13
1,0.0,2022-08-20 00:00:00,16
1,0.0,2022-08-20 00:00:00,18
1,0.0,2022-08-20 00:00:00,22
1,0.0,2022-08-20 00:00:00,23
1,0.0,2022-08-20 00:00:00,27
1,0.0,2022-08-20 00:00:00,28
1,0.0,2022-08-20 00:00:00,31
1,0.0,2022-08-20 00:00:00,33
1,0.0,2022-08-20 00:00:00,35
1,0.0,2022-08-20 00:00:00,38
1,0.0,2022-08-20 00:00:00,39
1,0.0,2022-08-20 00:00:00,40
1,0.0,2022-08-20 00:00:00,43
1,0.0,2022-08-20 00:00:00,45
1,0.0,2022-08-20 00:00:00,46
1,0.0,2022-08-20 00:00:00,47
1,0.0,2022-08-20 00:00:00,52
1,0.0,2022-08-22 00:00:00,2
1,248.0,2022-08-22 00:00:00,3
1,0.0,2022-08-22 00:00:00,4
1,0.0,2022-08-22 00:00:00,5
1,5471.0,2022-08-22 00:00:00,7
1,5149.0,2022-08-22 00:00:00,13
1,0.0,2022-08-22 00:00:00,14
1,4168.0,2022-08-22 00:00:00,15
1,0.0,2022-08-22 00:00:00,17
1,138.0,2022-08-22 00:00:00,18
1,1968.0,2022-08-22 00:00:00,20
1,0.0,2022-08-22 00:00:00,24
1,0.0,2022-08-22 00:00:00,25
1,3630.0,2022-08-22 00:00:00,27
1,0.0,2022-08-22 00:00:00,28
1,0.0,2022-08-22 00:00:00,29
1,0.0,2022-08-22 00:00:00,30
